expectation,salary,motherQualification,motherFrequency,fatherQualification,fatherFrequency
"ISCED lv3A","<$A> or more but less than <$B>","ISCED lv3A",14,"ISCED lv3A",24
"ISCED lv3A","<$A> or more but less than <$B>","ISCED lv4",30,"ISCED lv4",22
"ISCED lv3A","<$A> or more but less than <$B>","ISCED lv5B",47,"ISCED lv5B",56
"ISCED lv3A","<$A> or more but less than <$B>","ISCED lv5A,6",245,"ISCED lv5A,6",264
"ISCED lv3A","<$B> or more but less than <$C>","None",264,"None",257
"ISCED lv3A","<$B> or more but less than <$C>","ISCED lv3A",17,"ISCED lv3A",23
"ISCED lv3A","<$B> or more but less than <$C>","ISCED lv4",24,"ISCED lv4",18
"ISCED lv3A","<$B> or more but less than <$C>","ISCED lv5B",40,"ISCED lv5B",54
"ISCED lv3A","<$B> or more but less than <$C>","ISCED lv5A,6",178,"ISCED lv5A,6",178
"ISCED lv3A","<$C> or more but less than <$D>","None",136,"None",144
"ISCED lv3A","<$C> or more but less than <$D>","ISCED lv3A",15,"ISCED lv3A",13
"ISCED lv3A","<$C> or more but less than <$D>","ISCED lv4",14,"ISCED lv4",16
"ISCED lv3A","<$C> or more but less than <$D>","ISCED lv5B",31,"ISCED lv5B",31
"ISCED lv3A","<$C> or more but less than <$D>","ISCED lv5A,6",98,"ISCED lv5A,6",88
"ISCED lv3A","<$D> or more but less than <$E>","None",84,"None",83
"ISCED lv3A","<$D> or more but less than <$E>","ISCED lv3A",7,"ISCED lv3A",15
"ISCED lv3A","<$D> or more but less than <$E>","ISCED lv4",6,"ISCED lv4",12
"ISCED lv3A","<$D> or more but less than <$E>","ISCED lv5B",31,"ISCED lv5B",25
"ISCED lv3A","<$D> or more but less than <$E>","ISCED lv5A,6",34,"ISCED lv5A,6",29
"ISCED lv3A","<$E> or more","None",86,"None",85
"ISCED lv3A","<$E> or more","ISCED lv3A",49,"ISCED lv3A",72
"ISCED lv3A","<$E> or more","ISCED lv4",24,"ISCED lv4",24
"ISCED lv3A","<$E> or more","ISCED lv5B",75,"ISCED lv5B",72
"ISCED lv3A","<$E> or more","ISCED lv5A,6",45,"ISCED lv5A,6",37
"ISCED lv4","Less than <$A>","None",397,"None",369
"ISCED lv4","Less than <$A>","ISCED lv3A",3,"ISCED lv3A",7
"ISCED lv4","Less than <$A>","ISCED lv4",16,"ISCED lv4",21
"ISCED lv4","Less than <$A>","ISCED lv5B",43,"ISCED lv5B",49
"ISCED lv4","Less than <$A>","ISCED lv5A,6",193,"ISCED lv5A,6",167
"ISCED lv4","<$A> or more but less than <$B>","None",447,"None",465
